artist_name,track_name,release_date,genre,lyrics
ABBA,Slipping Through My Fingers,1981,Retro,"[Verse 1]
Schoolbag in hand, she leaves home in the early morning
Waving goodbye with an absent-minded smile
I watch her go with a surge of that well-known sadness
And I have to sit down for a while

[Pre-Chorus]
The feeling that I'm losing her forever
And without really entering her world
I'm glad whenever I can share her laughter
That funny little girl

[Chorus]
Slipping through my fingers all the time
I try to capture every minute
The feeling in it
Slipping through my fingers all the time
Do I really see what's in her mind?
Each time I think I'm close to knowing
She keeps on growing
Slipping through my fingers all the time

[Verse 2]
Sleep in our eyes, her and me at the breakfast table
Barely awake, I let precious time go by
Then when she's gone, there's that odd melancholy feeling
And a sense of guilt I can't deny

[Pre-Chorus]
What happened to the wonderful adventures
The places I had planned for us to go? (Slipping through my fingers all the time)
Well, some of that we did, but most we didn't
And why, I just don't know

[Chorus]
Slipping through my fingers all the time
I try to capture every minute
The feeling in it
Slipping through my fingers all the time
Do I really see what's in her mind?
Each time I think I'm close to knowing
She keeps on growing
Slipping through my fingers all the time

[Bridge]
Sometimes, I wish that I could freeze the picture
And save it from the funny tricks of time
Slipping through my fingers

[Guitar Solo]

[Outro]
Slipping through my fingers all the time
Schoolbag in hand, she leaves home in the early morning
Waving goodbye with an absent-minded smile"
ABBA,Dancing Queen,1976,Retro,"[Chorus]
Ooh-ooh, you can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

[Verse 1]
Friday night and the lights are low
Looking out for a place to go
Mmm, where they play the right music
Getting in the swing
You come to look for a king
[Verse 2]
Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance

[Pre-Chorus]
You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh, yeah

[Chorus]
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

[Verse 3]
You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance

[Pre-Chorus]
You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh, yeah

[Chorus]
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen
Digging the dancing queen"
ABBA,Mamma Mia,1975,Retro,"[Verse 1]
I've been cheated by you since I don't know when
So I made up my mind, it must come to an end
Look at me now, will I ever learn?
I don't know how, but I suddenly lose control
There's a fire within my soul

[Pre-Chorus]
Just one look and I can hear a bell ring
One more look and I forget everything, woah

[Chorus]
Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again?
My, my, just how much I've missed you
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My, my, I could never let you go

[Verse 2]
I've been angry and sad about things that you do
I can't count all the times that I've told you we're through
And when you go, when you slam the door
I think you know that you won't be away too long
You know that I'm not that strong

[Pre-Chorus]
Just one look and I can hear a bell ring
One more look and I forget everything, woah

[Chorus]
Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again
My, my, just how much I've missed you?
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, even if I say
Bye-bye, leave me now or never
Mamma mia, it's a game we play
""Bye-bye"" doesn't mean forever
Mamma mia, here I go again
My, my, how can I resist you?
Mamma mia, does it show again
My, my, just how much I've missed you?
Yes, I've been broken-hearted
Blue since the day we parted
Why, why did I ever let you go?
Mamma mia, now I really know
My, my, I could never let you go"
ABBA,Dancing Queen (Live 1986),1986,Retro,"[Intro]
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

[Verse 1]
Friday night and the lights are low
Looking out for a place to go
Where they play the right music, getting in the swing
You come to look for a king
Anybody could be that guy
Night is young and the music's high
With a bit of rock music, everything is fine
You're in the mood for a dance
And when you get the chance

[Chorus]
You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

[Verse 2]
You're a teaser, you turn 'em on
Leave 'em burning and then you're gone
Looking out for another, anyone will do
You're in the mood for a dance
And when you get the chance

[Chorus]
You are the dancing queen
Young and sweet, only seventeen
Dancing queen
Feel the beat from the tambourine, oh yeah
You can dance, you can jive
Having the time of your life
Ooh, see that girl, watch that scene
Digging the dancing queen

[Outro]
Digging the dancing queen
Digging the dancing queen
Digging the dancing queen"
ABBA,The Winner Takes It All,1980,Retro,"[Instrumental Intro]

[Verse 1: Agnetha Fältskog]
I don't wanna talk about things we've gone through
Though it's hurting me, now it's history
I've played all my cards
And that's what you've done, too
Nothing more to say, no more ace to play

[Chorus: Agnetha Fältskog]
The winner takes it all
The loser standing small
Beside the victory
That's her destiny

[Verse 2: Agnetha Fältskog]
I was in your arms, thinkin' I belonged there
I figured it made sense building me a fence
Building me a home, thinking I'd be strong there
But I was a fool playing by the rules

[Chorus: Agnetha Fältskog, Agnetha Fältskog, Anni-Frid Lingstad, Benny Andersson & Björn Ulvaeus]
The gods may throw a dice
Their minds as cold as ice
And someone way down here
Loses someone dear
The winner takes it all (Takes it all)
The loser has to fall (Has to fall)
It's simple and it's plain (Yes, it's plain)
Why should I complain? (Why complain?)

[Verse 3: Agnetha Fältskog]
But tell me, does she kiss like I used to kiss you?
Does it feel the same when she calls your name?
Somewhere deep inside, you must know I miss you
But what can I say? Rules must be obeyed

[Chorus: Agnetha Fältskog, Agnetha Fältskog, Anni-Frid Lingstad, Benny Andersson & Björn Ulvaeus]
The judges will decide (
They decide
)
The likes of me abide (
We abide
)
Spectators of the show (
Of the show
)
Always stayin' low (
Staying low
)
The game is on again (
On again
)
A lover or a friend (
Or a friend
)
A big thing or a small (
Big or small
)
The winner takes it all (
Takes it all
)

[Bridge: Agnetha Fältskog]
I don't wanna talk if it makes you feel sad
And I understand, you've come to shake my hand
I apologise if it makes you feel bad
Seeing me so tense, no self-confidence

[Chorus: Agnetha Fältskog]
But you see, the winner takes it all
The winner takes it all

[Outro: Agnetha Fältskog, Anni-Frid Lingstad, Benny Andersson & Björn Ulvaeus]
So the winner takes it all
And the loser has to fall
Throw a dice, cold as ice
Way down here, someone dear
Takes it all, has to fall
Yes, it's plain, why complain?"
ABBA,Chiquitita,1979,Retro,"[Verse 1]
Chiquitita, tell me what's wrong
You're enchained by your own sorrow
In your eyes, there is no hope for tomorrow
How I hate to see you like this
There is no way you can deny it
I can see that you're oh, so sad, so quiet

[Verse 2]
Chiquitita, tell me the truth
I'm a shoulder you can cry on
Your best friend, I'm the one you must rely on
You were always sure of yourself
Now I see you've broken a feather (How it hurts to see you cry and how it hurts to see you sad)
I hope we can patch it up together

[Chorus]
Chiquitita, you and I know
How the heartaches come and they go and the scars they're leaving
You'll be dancing once again and the pain will end
You will have no time for grieving
Chiquitita, you and I cry
But the sun is still in the sky and shining above you (Even though you cry, the sun is shining in the sky)
Let me hear you sing once more like you did before (So let me hear you sing some more the way you used to do before)
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita

[Verse 3]
So the walls came tumbling down
And your love's a blown out candle
All is gone and it seems too hard to handle
Chiquitita, tell me the truth
There is no way you can deny it
I see that you're oh, so sad, so quiet

[Chorus]
Chiquitita, you and I know
How the heartaches come and they go and the scars they're leaving (You and I, we know, how all the heartaches come and go)
You'll be dancing once again and the pain will end (You'll be dancing once again and all the pain you take will end)
You will have no time for grieving
Chiquitita, you and I cry
But the sun is still in the sky and shining above you (Even though you cry, the sun is shining in the sky)
Let me hear you sing once more like you did before (So let me hear you sing some more the way you used to do before)
Sing a new song, Chiquitita
Try once more, like you did before
Sing a new song, Chiquitita

[Outro]
Try once more, like you did before
Sing a new song, Chiquitita"
ABBA,Thank You for the Music,1977,Retro,"[Verse 1]
I'm nothing special, in fact I'm a bit of a bore
If I tell a joke, you've probably heard it before
But I have a talent, a wonderful thing
'Cause everyone listens when I start to sing
I'm so grateful and proud
All I want is to sing it out loud

[Chorus]
So I say thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me

[Verse 2]
Mother says I was a dancer before I could walk
Mhm, she says I began to sing long before I could talk
And I've often wondered, how did it all start?
Who found out that nothing can capture a heart
Like a melody can?
Well, whoever it was, I'm a fan

[Chorus]
So I say thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me

[Bridge]
I've been so lucky
I am the girl with golden hair
I wanna sing it out to everybody
What a joy, what a life, what a chance

[Chorus]
Thank you for the music, the songs I'm singing
Thanks for all the joy they're bringing
Who can live without it? I ask in all honesty
What would life be?
Without a song or a dance, what are we?
So I say thank you for the music, for giving it to me

[Outro]
So I say thank you for the music, for giving it to me"
ABBA,Happy New Year,1980,Retro,"[Verse 1]
No more champagne
And the fireworks are through
Here we are, me and you
Feeling lost and feeling blue
It's the end of the party
And the morning seems so grey
So unlike yesterday
Now's the time for us to say
[Chorus]
Happy New Year, Happy New Year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy New Year, Happy New Year
May we all have our hopes, our will to try
If we don't, we might as well lay down and die
You and I

[Verse 2]
Sometimes I see
How the brave new world arrives
And I see how it thrives
In the ashes of our lives
Oh yes, man is a fool
And he thinks he'll be okay
Dragging on, feet of clay
Never knowing he's astray
Keeps on going anyway

[Chorus]
Happy New Year, Happy New Year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy New Year, Happy New Year
May we all have our hopes, our will to try
If we don't, we might as well lay down and die
You and I

[Verse 3]
Seems to me now
That the dreams we had before
Are all dead, nothing more
Than confetti on the floor
It's the end of a decade
In another ten years time
Who can say what we'll find
What lies waiting down the line
In the end of eighty-nine

[Chorus]
Happy New Year, Happy New Year
May we all have a vision now and then
Of a world where every neighbour is a friend
Happy New Year, Happy New Year
May we all have our hopes, our will to try
If we don't, we might as well lay down and die
You and I"
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979,Retro,"[Verse 1]
Half-past twelve
And I'm watchin' the late show in my flat, all alone
How I hate to spend the evening on my own
Autumn winds
Blowin' outside the window as I look around the room
And it makes me so depressed to see the gloom

[Pre-Chorus]
There's not a soul out there
No one to hear my prayer

[Chorus]
Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day

[Verse 2]
Movie stars
Find the end of the rainbow with a fortune to win
It's so different from the world I'm livin' in
Tired of TV
I open the window and I gaze into the night
But there's nothing there to see, no one in sight

[Pre-Chorus]
There's not a soul out there
No one to hear my prayer

[Chorus]
Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day

[Post-Chorus]
Gimme, gimme, gimme a man after midnight
Gimme, gimme, gimme a man after midnight

[Instrumental Break]

[Pre-Chorus]
There's not a soul out there
No one to hear my prayer

[Chorus]
Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day
Gimme, gimme, gimme a man after midnight
Won't somebody help me chase the shadows away?
Gimme, gimme, gimme a man after midnight
Take me through the darkness to the break of the day"
ABBA,Lay All Your Love on Me,1981,Retro,"[Verse 1]
I wasn't jealous before we met
Now every woman I see is a potential threat
And I'm possessive, it isn't nice
You've heard me saying that smoking was my only vice

[Pre-Chorus]
But now it isn't true
Now everything is new
And all I've learned has overturned
I beg of you

[Chorus]
Don't go wasting your emotion
Lay all your love on me

[Verse 2]
It was like shooting a sitting duck
A little small talk, a smile, and baby, I was stuck
I still don't know what you've done with me
A grown-up woman should never fall so easily

[Pre-Chorus]
I feel a kind of fear
When I don't have you near
Unsatisfied, I skip my pride
I beg you, dear

[Chorus]
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me

[Verse 3]
I've had a few little love affairs
They didn't last very long and they've been pretty scarce
I used to think that was sensible
It makes the truth even more incomprehensible

[Pre-Chorus]
'Cause everything is new
And everything is you
And all I've learned has overturned
What can I do?

[Chorus]
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me
Don't go sharing your devotion
Lay all your love on me
Don't go wasting your emotion
Lay all your love on me"
